vintage_quarter,vintage_month,accounts,matured_accounts,bad_accounts,ead,expected_loss,avg_pd,avg_score,avg_fico,avg_dti,high_dti_share,vintage_bad_rate,el_rate,maturity_status
2013Q3,2013-09,12987,12987,2052,187911125,14501216.099506514,0.1969824683539496,489.07156376986427,697.1086856086856,17.06944867944868,0.04827904827904828,0.158004158004158,0.077170609773671,Matured outcome usable
2013Q4,2013-10,14127,14127,2217,204744300,15638995.685890503,0.1965668460818749,489.38107487140775,697.7089261697458,17.436593048771854,0.05408083811141785,0.15693353153535783,0.07638305772561435,Matured outcome usable
2013Q4,2013-11,14720,14720,2266,215992725,16682734.377443606,0.19732139365103846,488.939504542528,696.5353260869565,17.354449048913043,0.052105978260869566,0.15394021739130434,0.07723748277838342,Matured outcome usable
2013Q4,2013-12,15012,15012,2299,224040475,17161477.943467792,0.19667164609849805,489.3006739595764,696.7735478284039,17.254322541966427,0.05109245936584066,0.1531441513455902,0.07659989983268779,Matured outcome usable
2014Q1,2014-01,15614,15614,2477,232414050,18609624.23558816,0.20284186861776934,486.3436123774338,693.7859292942231,17.520635967721276,0.05283719738696042,0.1586396823363648,0.08007099500046645,Matured outcome usable
2014Q1,2014-02,15205,15205,2525,228751475,18203980.04652151,0.2023841596802961,486.6319035067338,694.296941795462,17.521336402499177,0.05031239723775074,0.16606379480434066,0.07957972750349046,Matured outcome usable
2014Q1,2014-03,16194,16194,2749,239536875,19128876.1751274,0.20324736736190993,486.0982270230737,693.4382178584661,17.382583055452635,0.05026553044337409,0.16975422996171421,0.07985775123403191,Matured outcome usable
2014Q2,2014-04,18172,18172,3320,263369025,20724909.85228408,0.20139996392293275,487.0572273620831,694.569612590799,17.243673783843274,0.04963680387409201,0.18269865727492846,0.07869152362273461,Matured outcome usable
2014Q2,2014-05,18098,18098,3321,260631925,20382874.096819166,0.20084330297246022,487.44357021023296,695.680848712565,17.294038015250305,0.04983976129959111,0.18350093933031275,0.07820559241474032,Matured outcome usable
2014Q2,2014-06,16186,16186,3125,236150625,18696206.93438187,0.20202778688456305,486.9031472421712,695.1181267762264,17.42396700852589,0.05393549981465464,0.19306808352897567,0.07917068580437536,Matured outcome usable
2014Q3,2014-07,27547,27547,5174,398321825,32017895.187287856,0.2039125277659621,485.8916387338124,694.0950012705558,17.584555486985877,0.05445239045994119,0.18782444549315716,0.08038197552265146,Matured outcome usable
2014Q3,2014-08,17730,17730,3336,259557025,20538144.766323045,0.20336748336258337,486.7142231719803,697.1799492385787,18.43145459672871,0.10135363790186125,0.18815566835871406,0.07912767826770647,Matured outcome usable
2014Q3,2014-09,9960,9960,1879,146371125,11589261.136946179,0.20315585061934702,486.988655100948,697.6371987951808,18.47627108433735,0.10662650602409639,0.18865461847389559,0.07917723619973666,Matured outcome usable
2014Q4,2014-10,36072,36072,7103,518141400,43850328.209123515,0.21350603290625542,481.7040529076867,692.3135534486582,18.82094699489909,0.11532490574406742,0.1969117320913728,0.08463004154681235,Matured outcome usable
2014Q4,2014-11,22957,22957,4421,331556250,27539551.91091277,0.21100024209561152,482.86407271236556,693.2876464694864,18.68159907653439,0.11369081325957224,0.19257742736420264,0.083061477233238,Matured outcome usable
2014Q4,2014-12,9367,9367,1731,138675900,10803612.107632259,0.20167429992395416,487.57055764137846,697.7825878082631,18.050643749332764,0.10109960499626348,0.18479769403224083,0.07790547678170655,Matured outcome usable
2015Q1,2015-01,32216,32216,6458,474901275,39552599.118979685,0.2113291159323617,482.81162318234817,693.5432704246338,18.935162341693566,0.12056121182021357,0.2004593990563695,0.08328594004928642,Matured outcome usable
